x,y
1.000000000000000000e+08,1.640093414474952453e+02
1.181581712850332856e+08,1.534022649029515435e+02
1.396135344142320752e+08,1.430954042088127380e+02
1.649648308685142398e+08,1.351901327754724207e+02
1.949194274176845253e+08,1.271847893919971568e+02
2.303132309159938097e+08,1.208805905651359325e+02
2.721339018778131008e+08,1.145763917382747081e+02
3.215483800414139032e+08,1.086724414141131376e+02
3.799357587509747148e+08,1.045697075967005674e+02
4.489252309686247110e+08,9.986658137631843601e+01
5.304417412957658172e+08,9.656438386214543357e+01
6.267603818325517178e+08,9.326218634797241691e+01
7.405684630314189196e+08,9.046030928663402904e+01
8.750423213845618963e+08,8.805870037691541086e+01
1.033933805995319605e+09,8.585723536746674256e+01
1.221677512505335569e+09,8.365577035801806005e+01
1.443511530053655148e+09,8.165442959991921157e+01
1.705627154352571249e+09,7.995330469222527370e+01
2.015338242263098717e+09,7.815208818547625924e+01
2.381286354120514393e+09,7.665110717805227125e+01
2.813684950425171375e+09,7.515008687278805155e+01
3.324598043511469841e+09,7.384923011671389759e+01
3.928285006569931507e+09,5.633754269341923049e+01
4.641588833612772942e+09,4.943295146358840952e+01
5.484417539536629677e+09,4.523014569604088564e+01
6.480286223583148003e+09,4.212807243321771011e+01
7.656989168981184006e+09,3.952635892106938087e+01
9.047360118219732285e+09,3.732487426270058961e+01
1.069019732199054909e+10,3.542362510365683193e+01
1.263133437184092903e+10,3.382255249717774603e+01
1.492495657413833046e+10,3.232153219191352633e+01
1.763505914596819687e+10,3.092060348570439743e+01
2.083726740087694168e+10,2.951967477949526142e+01
2.462091989588525391e+10,2.801867412315115047e+01
2.909163429958917618e+10,2.631752956653710385e+01
3.437414969870700836e+10,2.441626075857322675e+01
4.061587449302582550e+10,1.754367866979578139e-06
4.799094685285041809e+10,1.754367866979578139e-06
5.670523609345206451e+10,1.754367866979578139e-06
6.700188288164928436e+10,1.754367866979578139e-06
7.916821477099246216e+10,1.754367866979578139e-06
9.354373280967240906e+10,1.754367866979578139e-06
1.105295002439772491e+11,1.754367866979578139e-06
1.305996613453717194e+11,1.754367866979578139e-06
1.543142012392760010e+11,1.754367866979578139e-06
1.823348732975850525e+11,1.754367866979578139e-06
2.154434275531404724e+11,1.754367866979578139e-06
2.545640631272042236e+11,1.754367866979578139e-06
3.007882996098706665e+11,1.754367866979578139e-06
3.554060226363851318e+11,1.754367866979578139e-06
4.199413377782518311e+11,1.754367866979578139e-06
4.961947187937942505e+11,1.754367866979578139e-06
5.862947185392940674e+11,1.754367866979578139e-06
6.927552510487727051e+11,1.754367866979578139e-06
8.185470936038869629e+11,1.754367866979578139e-06
9.671797186699647217e+11,1.754367866979578139e-06
1.142802088488517334e+12,1.754367866979578139e-06
1.350314308957680420e+12,1.754367866979578139e-06
1.595507001030625977e+12,1.754367866979578139e-06
1.885222257848068359e+12,1.754367866979578139e-06
2.227542858833015137e+12,1.754367866979578139e-06
2.632024412973348145e+12,1.754367866979578139e-06
3.109952512481395996e+12,1.754367866979578139e-06
3.674663723564513672e+12,1.754367866979578139e-06
4.341912950562304199e+12,1.754367866979578139e-06
5.130329876396077148e+12,1.754367866979578139e-06
6.061900464016638672e+12,1.754367866979578139e-06
7.162626599258503906e+12,1.754367866979578139e-06
8.463236747039394531e+12,1.754367866979578139e-06
1.000000000000000000e+13,1.754367866979578139e-06
