x,y
1.705626983142532110e+09,1.880253524505267819e+02
2.015337685941735268e+09,1.774182667829672937e+02
2.381286194765586853e+09,1.621080707857822745e+02
2.813684267870683670e+09,1.549032561088883426e+02
3.324597932270945072e+09,1.439960128412761833e+02
3.928284185071254730e+09,1.358905845993656101e+02
4.641588833612772942e+09,1.278852558124254273e+02
5.484416576121026039e+09,1.218812279411406507e+02
6.480286440412508011e+09,1.156771262842337222e+02
7.656988080124188423e+09,1.108739164996377582e+02
9.047357242349311829e+09,1.058705703672603136e+02
1.069019204603001213e+10,1.019679741476809767e+02
1.263133563976836777e+10,9.786524158032014498e+01
1.492495545051832199e+10,9.456302312300553581e+01
1.763505472047138596e+10,9.166110864233354505e+01
2.083725851142957687e+10,8.905936740225409665e+01
2.462092401494620514e+10,8.645762616217463403e+01
2.909163405623883438e+10,8.425615761765811840e+01
3.437414337286239624e+10,8.215475724703235016e+01
4.061585988376988220e+10,7.975315235473435393e+01
4.799095809323877716e+10,7.785188833189005209e+01
5.670523941381169128e+10,7.575048796126426964e+01
6.700187503509576416e+10,7.384922393841996779e+01
7.916819159263017273e+10,7.214809626335714654e+01
9.354368899026162720e+10,7.034690041440357788e+01
1.105295141126024323e+11,6.894594597993327056e+01
1.305996547906054840e+11,6.014007180186721513e+01
1.543141663868093262e+11,4.753166957811254889e+01
1.823348000868438721e+11,4.252835472681478990e+01
2.154434690031877747e+11,3.902599992171870724e+01
2.545640673860415039e+11,3.622412233385777824e+01
3.007882518043095703e+11,3.372248054874873446e+01
3.554059037181068115e+11,3.162108017812295913e+01
4.199411234979421387e+11,2.951967980749718024e+01
4.961947603002897949e+11,2.691793856741772117e+01
5.862946645916390381e+11,2.361572011010311201e+01
6.927550656129393311e+11,1.961305571663303127e+01
8.185467307069020996e+11,1.541025497538147526e+01
